96,"Lc23_39-49_GesuOranteDelPadreModelloDiPreghiera.docx","Gesù, l'orante del Padre modello di preghiera",2002,"Suore","ESERCIZI ESPIRITUALI SUORE\\Pregare_per_vivere_2002","http://NA","Lc","23,39-49","Pregare per vivere"
97,"Lc3_11-22_DioUnseSpiritoSantoGesu.docx","Dio unse di Spirito Santo Gesù di Nazareth",1994,"Suore","ESERCIZI ESPIRITUALI SUORE\\Esercizi_Lo_Spirito _anto_nella_nostra_vita","http://NA","Lc","3,11-22","Lo Spirito Santo nella nostra vita"
98,"Lc4_1-13_GesuPrototipoDellUomoSpirituale.docx","Gesù: prototipo dell'uomo spirituale",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\LO_SPIRITO_SANTO","http://NA","Lc","4,1-13","Lo Spirito Santo"
99,"Lc6_39-42_PercheGuardiPagliuzzaNellOcchioTuoFratelloNonLaTrave.docx","Perché guardi la pagliuzza che è nell'occhio di tuo fratello e non vedi la trave che è nel tuo?",2008,"Laici","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Lc","6,39-42","Gesù il grande provocatore"
100,"Mc10_13-16_Semplicita.docx","Semplicità",2003,"Laici","Frutto_dello _SPirito_laici","http://NA","Mc","10,13-16","Frutti dello Spirito Santo"
101,"Mc14_22-24_EucarestiaFonteDiOgniBenedizione.docx","L'Eucarestia: fonte di ogni benedizione",2004,"Suore","ESERCIZI ESPIRITUALI SUORE\\BENEDIZIONE_2004","http://NA","Mt","14,22-24","Benedizione"
102,"Mc14_32-42_AbbaPadre.docx","Abba Padre",1999,"Tutti","lectio 99 -2000","http://NA","Mc","14,32-42","N/A"
103,"Mc2_18-22_PregarePresenzaSposoVinoNuovoOtriNuovi.docx","Pregare alla presenza dello sposo con vino nuovo in otri nuovi","N/A","Tutti","altre_lectio","http://NA","Mc","2,18-22","N/A"
104,"Mc3_13-19_LiChiamoPerStareConLuiPredicareLiberare.docx","Li chiamò perché stessero con lui e per mandarli a predicare e liberare","N/A","Tutti","Dimorare","http://NA","Mc","3,13-19","Dimorare"
105,"Mc3_7-19_ChiamoNeFeceDodiciEssereConLuiInviarli.docx","Li chiamò e ne fece dodici per essere con Lui e per inviarli","N/A","Tutti","Dimorare","http://NA","Mc","3,7-19","Dimorare"
106,"Mc7_14-23_IlCuoreLuogoDellAmbiguita.docx","Il cuore: luogo dell'am biguità",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Mc","7,14-23","Ritorniamo al cuore"
107,"Mc8_27-30_MaVoiChiDiteCheIoSia.docx","Ma voi chi dite che io sia?",2007,"Laici","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Mc","8,27-30","Gesù il grande provocatore"
108,"Mt11_16-19_RispostaScontentoEndemico.docx","C’è una risposta allo scontento endemico?","N/A","Tutti","altre_lectio","http://NA","Mt","11,16-19","N/A"
109,"Mt11_25-30_IlSegretoDelCuoreLibero.docx","Il segreto del cuore libero",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Mt","11,25-30","Ritorniamo al cuore"
110,"Mt12_9-21_GesuIlServoPienoDiSpiritoSanto.docx","Gesù: il servo pieno di Spirito Santo",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\LO_SPIRITO_SANTO","http://NA","Mt","12,9-21","Lo Spirito Santo"
111,"Mt20_29__20_34_CheVoleteCheFacciaPerVoi.docx","Che volete che io faccia per voi?",2007,"Laici","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Mt","20,29","Gesù il grande provocatore"
112,"Mt20_29__20_34_CheVoleteCheFacciaPerVoi.docx","Che volete che io faccia per voi?",2007,"Laici","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Mt","20,34","Gesù il grande provocatore"
113,"Mt21_23-27_BattesimoGiovanniVenivaDalCieloO_Uomini.docx","Il battesimo di Giovanni da dove veniva? Dal cielo o dagli uomini?",2008,"Laici","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Mt","21,23-27","Gesù il grande provocatore"
114,"Mt22_34-40_AmeraiIlSignoreDioTuoConTuttoIlTuoCuore.docx","Amerai il Signore Dio tuo con tutto il tuo cuore",1997,"Suore","ESERCIZI ESPIRITUALI SUORE\\Ritorniamo_al_cuore","http://NA","Mt","22,34-40","Ritorniamo al cuore"
115,"Mt26_36-41_NonSieteRiuscitiVegliareNeppureUnOra.docx","Non sieti riusciti a vegliare neppure un'ora.",2008,"Laici","Lectio 2007-2008 Laici  Gesù Il grande provocartore","http://NA","Mt","26,36-41","Gesù il grande provocatore"
116,"Mt28_16-20_AndateInTuttoIlMondo.docx","Andate in tutto il mondo",1999,"Tutti","lectio 99 -2000","http://NA","Mt","28,16-20","N/A"
117,"Mt5_1-10_EssereBeatiInGesuAvereDareAcquaViva.docx","Essere beati in Gesù, avere e dare acqua viva","N/A","Tutti","Beatitudini","http://NA","Mt","5,1-10","Beatitudini"
118,"Mt5_3_BeatiPoveriInSpiritoPercheDiEssiE_IlRegnoDeiCieli.docx","Beati i poveri in spirito perché di essi è il Regno dei cieli",2001,"Suore","ESERCIZI ESPIRITUALI SUORE\\beatitudini_2001","http://NA","Mt","5,3","Beatitudini"
